Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code, "github.com/AlDanial/cloc v 1.80 T=36 s"
Bourne Shell, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 6, 
JavaScript, 0, 0, 0, 4, 0, 0, 0, 33, 0, 0, 0, 45, 0, 0, 0, 190, 
Ant, 0, 0, 1, 1, 0, 0, 74, 49, 0, 0, 57, 43, 0, 0, 284, 193, 
XML, 0, 0, 6, 0, 0, 0, 155, 0, 0, 0, 159, 0, 0, 0, 450, 0, 
CSS, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 
HTML, 36, 0, 9, 9, 0, 0, 0, 0, 0, 0, 0, 0, 228, 0, 62, 114, 
Maven, 0, 0, 1, 1, 0, 0, 33, 31, 0, 0, 5, 16, 0, 0, 251, 211, 
Markdown, 0, 0, 0, 1, 0, 0, 0, 227, 0, 0, 0, 0, 0, 0, 0, 1177, 
Java, 3, 564, 450, 426, 27, 0, 11493, 9593, 95081, 6645, 43125, 33416, 81656, 4013, 58673, 48796, 
